TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
DDBZSI   	   Bn 1      Sorbisches Institut e.V., Sorbische Zentralbibliothek                                                 zdb             415
L1KG     	   L 191     Bundesamt für Kartographie und Geodäsie, Außenstelle Leipzig, Bibliothek                              zdb             416


         	                   Bundesamt für Kartographie und Geodäsie, ehemalige Bibliothek des Deutschen Vereins für
L1VV     	   B 729           Vermessungswesen                                                                                       zdb            416
DDIV     	   D 143           Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme (IVI)                                       zdb            417
DDLP     	   D 265           Landesvorstand Sachsen der Linkspartei, PDS, Bibliothek                                                zdb            418
JPOAGT   	   zzz9 JP1        OAG - Deutsche Gesellschaft für Natur- und Völkerkunde Ostasiens, Tokyo                                aktiv          419
S2SGLH   	   Sg 2            Bibliothek des Landesgymnasiums für Hochbegabte Schwäbisch Gmünd                                       aktiv          420
TUSIBK   	   Sig 4           Landratsamt Sigmaringen - Bibliothek Kreisarchiv                                                       aktiv          421
TUSIHL   	   Sig 3           Sigmaringen, Hohenzollerische Landesbücherei                                                           aktiv          421
C1ZWRS   	   Zwi 17          Robert-Schumann-Haus Zwickau                                                                           aktiv          422
HDHNDA   	   Hb 5            Dekanatamt Heilbronn, Bibliothek                                                                       aktiv          423
C1MF     	   Ch 77           Klinikum Chemnitz, Medizinische Fach- und Patientenbibliothek                                          zdb            424
KNDOVB   	   Dne 2           Donaueschinger Bibliothek des Vereins für Geschichte und Naturgeschichte der Baar                      aktiv          425
KABRSG   	   Bru 1           Staatliche Schlösser und Gärten Baden-Württemberg, Bibliothek                                          aktiv          426
B1HK     	   B 1584          Haus der Kulturen der Welt, Bibliothek                                                                 aktiv          427

L1SI     	   L 325           Simon-Dubnow-Institut für jüdische Geschichte und Kultur e.V. an der Universität Leipzig, Bibliothek   aktiv          428
HDBHRS   	   Bun 1           Regionalgeschichtliche Bibliothek "Zwischen Neckar und Main", Buchen (Odenwald)                        aktiv          429
KNFNKB   	   Sam 1           Kreiskulturamt Bodenseekreis, Kreisbibliothek                                                          aktiv          430
KNFNKH   	   Sam 3           Kurt-Hahn-Archiv im Kreisarchiv Bodenseekreis, Salem                                                   aktiv          430
ULBISA   	   Bib 2           Städtische Archive Biberach, Bibliothek                                                                aktiv          431
FR210    	   Frei 210        Kunstverein Freiburg                                                                                   aktiv          432
DDEH     	   D 275           Ev. Hochschule für Soziale Arbeit Dresden (FH), Bibliothek                                             aktiv          433
S2ESSE   	   Ess 7           Staatliches Seminar für Didaktik und Lehrerbildung (Gymnasien) Esslingen, Bibliothek                   aktiv          434
KAKA     	   Ka 92           Kreisarchiv Karlsruhe                                                                                  aktiv          435
FRBRBH   	   Brs 1           Blaues Haus, Breisach                                                                                  aktiv          436
FR211    	   Frei 211        Landesverein Badische Heimat e.V., Bibliothek                                                          aktiv          437
B1MH     	   1834b           freshpages MHMK Bibliothek Berlin, Macromedia Hochschule für Medien und Kommunikation                  aktiv          438
HHMH     	   1834h           freshpages MHMK Bibliothek Hamburg, Macromedia Hochschule für Medien und Kommunikation                 aktiv          438
K1MH     	   1834k           freshpages MHMK Bibliothek Köln, Macromedia Hochschule für Medien und Kommunikation                    aktiv          438
M1MH     	              1834 freshpages MHMK Bibliothek, Macromedia Hochschule für Medien und Kommunikation, München                aktiv          438
S1MHMK   	   1834s           freshpages MHMK Bibliothek Stuttgart, Macromedia Hochschule für Medien und Kommunikation               aktiv          438
HDBSLD   	   16/200          Universität Heidelberg, Bibliotheca Laureshamensis - digital                                           aktiv          439
KADP     	   Ka 95           Regierungspräsidium Karlsruhe, Referat 26, Denkmalpflege - Bibliothek                                  aktiv          440



HDHNSH   	   Hb 6         Seminarbibliothek Heilbronn                                                                   aktiv          441
ULBILA   	   Osn 1        Landesakademie für die musizierende Jugend in Baden-Württemberg, Musikbibliothek              aktiv          442
S1BBHF   	   Bbl 1        Kreisarchiv Böblingen, Historische Forstbibliothek                                            aktiv          443
S1MK     	   Stg 284      Ministerium für Kultus, Jugend und Sport Baden-Württemberg, Bibliothek                        aktiv          444
KALM     	   Ka 96        Literarische Gesellschaft e.V., Museum für Literatur am Oberrhein                             aktiv          445
S2LBEH   	   Rt 3         Evangelische Hochschule Ludwigsburg, Bibliothek                                               aktiv          446
KARAGF   	   Gnb 1        Glatfelter Bibliothek Gernsbach                                                               aktiv          447
SBIF     	   Sa 29        Institut d'Etudes francaises                                                                  aktiv          448
HUBPAU   	   ZDB-HU-100   Andrássy Gyula Deutschsprachige Universität Budapest - Bibliothek                             aktiv          449
S1ESSM   	   1863         Bibliothek für Schwäbische Mundartdichtung Weilheim an der Teck                               aktiv          450
TUSIBN   	   Mng 1        Bleicher-Nachlass im Heimatmuseum Mengen                                                      aktiv          451
S1WNHF   	   1864         VPT Hochschule Fellbach i. Gr. - Bibliothek                                                   aktiv          452
         	                Geisteswissenschaftliches Zentrum Geschichte und Kultur Ostmitteleuropas an der Universität
L1GZ     	   L 327        Leipzig e.V.                                                                                  aktiv          453
HPLOKB   	   Los 1        Kurpfalzbibliothek "Heinrich Vetter" Lorsch                                                   aktiv          454
LULHKB   	   Lim 1        Kurpfalzbibliothek "Heinrich Vetter" Limburgerhof                                             aktiv          454
CHZHAW   	   CH-ZHAW      Hochschulbibliothek ZHAW, Winterthur                                                          aktiv          455
KABM     	   1874         Bismarck-Gymnasium Karlsruhe, Historische Bibliothek                                          aktiv          456
KNFNPU   	   Uhm 1        Pfahlbaumuseum Unteruhldingen, Bibliothek                                                     aktiv          457
SPSA     	   Sp 7         Stadtarchiv Speyer - Amtsbibliothek                                                           aktiv          458
FRLOVD   	   Wlr 1        Vitra Design Museum, Bibliothek                                                               aktiv          459
S2ESGG   	   Ess 8        Historische Bibliothek des Georgii-Gymnasiums Esslingen am Neckar                             aktiv          460
CHBSSB   	   CH-BSSB      Stadtbibliothek Basel                                                                         z3950          461
CHSHSB   	   CH-SHSB      Stadtbibliothek Schaffhausen                                                                  z3950          462
CHWTSB   	   CH-WTSB      Stadtbibliothek Winterthur                                                                    z3950          463
         	                Max Planck Institute Luxemburg for International, European and Regulatory Procedural Law,
LUMPPL   	   Y 10         Bibliothek                                                                                    aktiv          464
TUBLHH   	   Heh 2        Hohenzollerische Heimatbücherei Hechingen                                                     aktiv          465
KAPFKE   	   Pfo 2        Kreisarchiv des Enzkreises, Bibliothek                                                        aktiv          466
S1LAAB   	   Stg 285      Landesarchiv Baden-Württemberg, Abteilungen 1 und 2 - Bibliothek                              aktiv          467
S2NUHK   	   1869         Hochschule für Kunsttherapie Nürtingen, Bibliothek                                            aktiv          468
D1LA     	   Dü 72        Landeskirchliches Archiv Düsseldorf                                                           aktiv          469
SIMBEA   	   Bpd 1        Evangelische Archivstelle Boppard                                                             aktiv          469



HAMZFW   	   1871       Zentrum für Wissensmanagement, Bibliothek Lippstadt                                          aktiv          472
LIPZFW   	   1926       Zentrum für Wissensmanagement, Bibliothek Hamm                                               aktiv          472

DDHEDK   	   D 277a     Deutsches Komponistenarchiv (DKA) in HELLERAU - Europäisches Zentrum der Künste Dresden      aktiv          473
DDHEHA   	   D 277f     Hellerau-Archiv in HELLERAU - Europäisches Zentrum der Künste Dresden                        aktiv          473
DDHEIM   	   D 277b     Internationale Musikbibliothek (IMB) in HELLERAU - Europäisches Zentrum der Künste Dresden   aktiv          473
DDHEMB   	   D 277c     Musikbibliothek in HELLERAU - Europäisches Zentrum der Künste Dresden                        aktiv          473
         	              Sammlung Musica Viva Ensemble (MVE) in HELLERAU - Europäisches Zentrum der Künste
DDHEMV   	   D 277d     Dresden                                                                                      aktiv          473
DDHEVM   	   D 277e     Sammlung Verfemte Musik in HELLERAU - Europäisches Zentrum der Künste Dresden                aktiv          473
BOHG     	   1866       Hochschule für Gesundheit, Hochschulbibliothek                                               aktiv          474
MASB     	   1370       Stadtbibliothek Mannheim                                                                     z3950          475
         	              Lehrinstitut für Gesundheitsberufe der Saarland-Heilstätten GmbH und Berufsakademie für
SBLG     	   1941       Gesundheits- und Sozialwesen Saarland, gemeinsame Bibliothek                                 aktiv          476
SBSK     	   Sa 27      Stiftung Saarländischer Kulturbesitz Saarbrücken, Bibliothek                                 aktiv          477
S1JI     	   1954       C. G. Jung-Institut Stuttgart e.V., Bibliothek                                               aktiv          478
WWWCAJK  	   ZDB1CAJK   China Academic Journals [Komplett]                                                           natliz         700
WWWEMSK  	   ZDB1EMSK   European Mathematical Society / EMS Journals [Komplett]                                      natliz         701
WWWKEC   	   ZDB1KEC    Karger eBooks Collection 2011-2013 [Komplett]                                                natliz         702
WWWSAGA  	   ZDB1SAGA   Sage Journals Online Deep Backfile 1879 - 2010 [Archiv/Allianz-Lizenz]                       natliz         703
WWWSAGB  	   ZDB1SAGB   Sage Journals Online / Health, Biomedical & Clinical                                         natliz         704
WWWSAGH  	   ZDB1SAGH   Sage Journals Online / Humanities and Social Sciences (HSS)                                  natliz         705
WWWSAGM  	   ZDB1SAGM   Sage Journals Online / Materials Science & Engineering                                       natliz         706
WWWSAGS  	   ZDB1SAGS   Sage Journals Online / Science Technology Medicine (STM)                                     natliz         707
WWWZBMK  	   ZDB1ZBMK   Zentralblatt MATH [Komplett]                                                                 natliz         708
WWWZBM   	   ZDB1ZBM    Zentralblatt MATH [Archiv]                                                                   natliz         709
WWWLEO   	   ZDB1LEO    Literarischer Expressionismus Online                                                         natliz         710
WWWNRA   	   ZDB1NRA    The New Republic Archive 1914-2010                                                           natliz         711
WWWMMH   	   ZDB1MMH    Making of Modern Law : Trials, 1600-1926 / MOML 3                                            natliz         712
WWWENL   	   ZDB1ENL    The Endocrine Legacy                                                                         natliz         713
WWWPLC   	   ZDB1PLC    Psychiatry Legacy Collection Online Journals 1844-1996                                       natliz         714
WWWAIA   	   ZDB1AIA    AIAA Meeting Papers and Journals Archive                                                     natliz         715
WWWOJH   	   ZDB1OJH    Oxford Journals Digital Archive / HSS Collection [Archiv]                                    natliz         716



WWWOJS   	   ZDB1OJS      Oxford Journals Digital Archive / STM Collection [Archiv]                          natliz         717
WWWIOPT  	   ZDB1IOPT     IOP Journals 2011 / IOP-Ejournals inkl. Turpion [Komplett]                         natliz         718
WWWIOPE  	   ZDB-1-IOPE   IOP Journals 2011 / IOP-EJournals [Komplett]                                       natliz         719
WWWCUBA  	   ZDB1CUBA     Cambridge Books Online / Anthropology                                              natliz         720
WWWCUBB  	   ZDB1CUBB     Cambridge Books Online / Archaeology                                               natliz         721
WWWCUBC  	   ZDB1CUBC     Cambridge Books Online / Classical Studies                                         natliz         722
WWWCUBD  	   ZDB1CUBD     Cambridge Books Online / History                                                   natliz         723
WWWCUBE  	   ZDB1CUBE     Cambridge Books Online / Language and Linguistics                                  natliz         724
WWWCUBF  	   ZDB1CUBF     Cambridge Books Online / Law                                                       natliz         725
WWWCUBG  	   ZDB1CUBG     Cambridge Books Online / Literature                                                natliz         726
WWWCUBH  	   ZDB1CUBH     Cambridge Books Online / Music                                                     natliz         727
WWWCUBI  	   ZDB1CUBI     Cambridge Books Online / Philosophy                                                natliz         728
WWWCUBJ  	   ZDB1CUBJ     Cambridge Books Online / Politics                                                  natliz         729
WWWCUBK  	   ZDB1CUBK     Cambridge Books Online / Religion                                                  natliz         730
WWWCUBL  	   ZDB1CUBL     Cambridge Books Online / Sociology                                                 natliz         731
WWWCUPH  	   ZDB1CUPH     Cambridge Journals / Humanities and Social Sciences (HSS)                          natliz         732
WWWCUPK  	   ZDB1CUPK     Cambridge Journals [Komplett]                                                      natliz         733
WWWCUPS  	   ZDB1CUPS     Cambridge Journals / Science, Technology and Medicine                              natliz         734
WWWIZV   	   ZDB1IZV      Izvestija Digital Archive 1917 - 1991                                              natliz         735
WWWPHU   	   ZDB1PHU      Palgrave Connect / Humanities Package                                              natliz         736
WWWPLT   	   ZDB1PLT      Palgrave Connect / Language, Literature & Theatre Package                          natliz         737
WWWPPI   	   ZDB1PPI      Palgrave Connect / Political & International Studies Package                       natliz         738
WWWPSS   	   ZDB1PSS      Palgrave Connect / Social Sciences Package                                         natliz         739
WWWWCD   	   ZDB1WCD      World Christian Database                                                           natliz         740
WWWWRD   	   ZDB1WRD      World Religion Database                                                            natliz         741
WWWAGU   	   ZDB1AGU      AGU Journals                                                                       natliz         742
WWWAWS   	   ZDB1AWS      African Writers Series                                                             natliz         743
WWWCAR   	   ZDB1CAR      CAB Abstracts (incl. CAB Reviews)                                                  natliz         744
WWWDG2L  	   ZDB1DG2L     Walter de Gruyter Online-Zeitschriften / Science, Technology and Medicine - STM2   natliz         745
WWWDGRL  	   ZDB1DGRL     Walter de Gruyter Online-Zeitschriften / Geistes- und Sozialwissenschaften - GS2   natliz         746
WWWSAGI  	   ZDB1SAGI     Sage IMechE                                                                        natliz         747
WWWSAGS1 	   ZDB1SAGS1    Sage Journals Online / Science Technology Medicine (STM) / Upgrade 2012            natliz         748
WWWSAGH1 	   ZDB1SAGH1    Sage Journals Online / Humanities and Social Sciences (HSS) / Upgrade 2012         natliz         749



WWWSAGB1 	   ZDB1SAGB1   Sage Journals Online / Health, Biomedical & Clinical Medicine / Upgrade 2012                  natliz         750
WWWSAGK1 	   ZDB1SAGK1   Sage Journals Online [Komplett] / Upgrade 2012                                                natliz         751
WWWAAS5  	   ZDB1AAS5    American Antiquarian Society (AAS) Historical Periodicals Collection : Series 5 (1866-1877)   natliz         752
WWWIMF   	   ZDB1IMF     International Monetary Fund E-Library                                                         natliz         753
WWWAAS4  	   ZDB1AAS4    American Antiquarian Society (AAS) Historical Periodicals Collection : Series 4 (1853-1865)   natliz         754
WWWNCN   	   ZDB1NCN     Nineteenth Century U.S. Newspapers                                                            natliz         755
WWWJA11  	   ZDB1JA11    JSTOR : Arts & Sciences XI Collection                                                         natliz         756
WWWEAVA  	   ZDB1EAVA    Universal Database of Social Sciences & Humanities / 2013-2015                                natliz         757
WWWLWWA  	   ZDB1LWWA    Ovid Journals A - Z / Allianz-Lizenz LWW                                                      natliz         758
WWWDGW   	   ZDB1DGW     Nietzsche online                                                                              natliz         759
WWWDGV   	   ZDB1DGV     Germanische Altertumskunde Online                                                             natliz         760
WWWJJS   	   ZDB1JJS     JSTOR : Jewish Studies Collection                                                             natliz         761
WWWPSC   	   ZDB1PSC     Primary sources / Reformation Studies / Conrad Gessner's Private Library                      natliz         762
WWWPSI   	   ZDB1PSI     Primary sources / Reformation Studies / Italian Reformation, Part 1                           natliz         763
WWWPSH   	   ZDB1PSH     Primary sources / Reformation Studies / Huguenots                                             natliz         764
WWWPSA   	   ZDB1PSA     Primary sources / Reformation Studies / Anti-Calvin                                           natliz         765
WWWPSR   	   ZDB1PSR     Primary sources / Reformation Studies / Hungarian Reformation                                 natliz         766
WWWLDG   	   ZDB1LDG     Literaturnajagazeta                                                                           natliz         767
WWWECC   	   WWW/ECC     Eighteenth Century Collection Online                                                          natliz         800
WWWEEB   	   WWW/EEB     Early English Books Online                                                                    natliz         801
WWWMME   	   WWW/MME     Making of the Modern World ...                                                                natliz         802
WWWMML   	   WWW/MML     Making of Modern Law                                                                          natliz         803
WWWWFR   	   WWW/WFR     Wales realted Fictions of the Romantic Period                                                 natliz         804
WWWELW   	   WWW/ELW     English Women's Literature of the 18. and 19. Centuries                                       natliz         805
WWWDFL   	   WWW/DFL     Deutschprachige Frauenliteratur des 18. und 19. Jhdts., Teil 1                                natliz         806
WWWSDJ   	   ZDB1SDJ     Elsevier Journal Backfiles on ScienceDirect 1907-2002                                         natliz         807
WWWSOJ   	   ZDB1SOJ     Springer Online Journal Archives 1860-2001                                                    natliz         808
WWWPAO   	   ZDB1PAO     Periodicals Archive Online / PAO 1802-2000                                                    natliz         809
WWWOJD   	   ZDB1OJD     Oxford Journals Digital Archive 1829-1995 [Archiv]                                            natliz         810
WWWIOP   	   ZDB1IOP     IOP Historic Archive 1874-1995 [Archiv]                                                       natliz         811
WWWRSC   	   ZDB1RSC     RSC Journals Super Archive 1841-2004 [Archiv]                                                 natliz         812
WWWACS   	   ZDB1ACS     ACS Legacy Archives 1879-1995                                                                 natliz         813
WWWAIP   	   ZDB1AIP     AIP Digital Archive 1930-2010 [Archiv]                                                        natliz         814




WWWANR   	   ZDB1ANR   Annual Reviews Electronic Back Volume Collection 1932-2001ff [Archiv]                               natliz         815
WWWCAA   	   ZDB1CAA   China Academic Journals (CAJ - Technik und Naturwissenschaften)                                     natliz         816
WWWCAJ   	   ZDB1CAJ   China Academic Journals (CAJ)                                                                       natliz         817
WWWTDA   	   ZDB1TDA   The Times Digital Archive 1785 - 1900 / TDA                                                         natliz         818
WWWTLS   	   ZDB1TLS   Times Literary Supplement Centenary Archive / TLS                                                   natliz         819
WWWWIS   	   ZDB1WIS   Wiley InterScience Backfile Collection 1832-2000                                                    natliz         820
WWWBAA   	   ZDB1BAA   Biological Abstracts Archive 1969-2004                                                              natliz         821
WWWCSA   	   ZDB1CSA   CSA Sozialwissenschaftliche Datenbanken 1999-2009                                                   natliz         822
WWWPIO   	   ZDB1PIO   Periodicals Index Online/PIO 1739-2000                                                              natliz         823
WWWBHB   	   ZDB1BHB   The Bibliography of the Hebrew Book 1470-1960                                                       natliz         824
WWWATS   	   ZDB1ATS   Acta Sanctorum Database                                                                             natliz         825
WWWAHM   	   ZDB1AHM   Analecta Hymnica Medii Aevi                                                                         natliz         826
WWWALD   	   ZDB1ALD   Aristoteles Latinus Database                                                                        natliz         827
WWWCOD   	   ZDB1COD   COMINTERN Electronic Archives                                                                       natliz         828
WWWDDR   	   ZDB1DDR   Declassified Documents Reference System / DDRS                                                      natliz         829
WWWDLP   	   ZDB1DLP   Digital Library of Classic Protestant Texts                                                         natliz         830
WWWDLC   	   ZDB1DLC   Digital Library of the Catholic Reformation                                                         natliz         831
WWWDNS   	   ZDB1DNS   Digital National Security Archive / DNSA                                                            natliz         832
WWWNEL   	   WWW/NEL   E-Books von NetLibrary                                                                              natliz         833
WWWEAI   	   ZDB1EAI   Early American Imprints, Series I: Evans 1639-1800 / EAI                                            natliz         834
WWWEIO   	   ZDB1EIO   Editoria Italiana Online                                                                            natliz         835
WWWEUS   	   ZDB1EUS   Europa Sacra                                                                                        natliz         836
WWWLCL   	   ZDB1LCL   Library of Latin Texts                                                                              natliz         837
WWWMOC   	   ZDB1MOC   Macmillan Online. Cabinet Papers, 1957-1963                                                         natliz         838
WWWNAI   	   ZDB1NAI   North American Immigrant Letters, Diaries, and Oral Histories                                       natliz         839
WWWPGL   	   ZDB1PGL   Patrologia graeco-latina                                                                            natliz         840
WWWTES   	   ZDB1TES   Teatro Espanol del Siglo de Oro / TESO                                                              natliz         841
WWWTHC   	   ZDB1THC   Testaments to the Holocaust                                                                         natliz         842
WWWTCN   	   ZDB1TCN   Twentieth Century North American Drama                                                              natliz         843
WWWULA   	   ZDB1ULA   Ut per Litteras Apostolicas                                                                         natliz         844
WWWEHD   	   ZDB1EHD   Edmond Huguet: Dictionnaire de la langue française du seizième siècle (1925-1967)                   natliz         845
         	             Frédéric Godefroy: Dictionnaire de l'ancienne langue française et de tous ses dialectes du IXe au
WWWFGD   	   ZDB1FGD   XVe siècle                                                                                          natliz         845



WWWWBI   	   ZDB1WBI 	      World Biographical Information System / WBIS                                                	 natliz      	   845
WWWCAB   	   ZDB1CAB 	      CAB Abstracts 1910 -1989                                                                    	 natliz      	   846
WWWFCP   	   ZDB1FCP 	      Forestry Compendium                                                                         	 natliz      	   847
WWWAHP   	   ZDB1AHP 	      Animal Health and Production Compendium                                                     	 natliz      	   848
WWWCPC   	   ZDB1CPC 	      Crop Protection Compendium                                                                  	 natliz      	   849
WWWAQC   	   ZDB1AQC 	      Aquaculture Compendium                                                                      	 natliz      	   850
WWWZLR   	   ZDB1ZLR 	      Zoological Record Archive 1864 - 2006                                                       	 natliz      	   851
WWWEAP   	   ZDB1EAP 	      Shaw/Shoemaker 1801-1819 (Series II) / EAI II                                               	 natliz      	   852
WWWCLF   	   ZDB1CLF 	      Corpus de la littérature francophone de l'Afrique                                           	 natliz      	   853
WWWCLM   	   ZDB1CLM 	      Corpus de la littérature médiévale                                                          	 natliz      	   854
	
WWWNID   	   ZDB1NID 	 Northern Ireland : A Divided Community 1921-1972 : Cabinet papers of the Stormont Administration 	 natliz      	   855
WWWSPC   	   ZDB1SPC 	 Scriptores possessoresque codicum medii aevi                                                     	 natliz      	   856
WWWTFO   	   ZDB1TFO 	  Taylor & Francis Online Archives (1799 - 2000)                                                  	 natliz      	   857
WWWMMS   	   ZDB1MMS 	 The Making of Modern Law : U.S. Supreme Court Records and Briefs, 1832-1978 / MOML 2             	 natliz      	   858
WWWVIC   	   ZDB1VIC 	 Voprosy Istorii Complete Collection                                                              	 natliz      	   859
WWWEFD   	   ZDB1EFD 	 Emerald Fulltext Archive Database 1994 - 2005                                                    	 natliz      	   860
WWWBEP   	   ZDB1BEP 	 Berkeley Electronic Press Academic Journals                                                      	 natliz      	   861
WWWASC   	   ZDB1ASC 	 Art Sales Catalogues Online                                                                      	 natliz      	   862
WWWCEE   	   ZDB1CEE 	 Central and Eastern European Online Library (C.E.E.O.L.)                                         	 natliz      	   863
WWWIUC   	   ZDB1IUC 	 IUCr Backfile Archive 1948-2001                                                                  	 natliz      	   864
WWWTCE   	   ZDB1TCE 	 Thieme Zeitschriftenarchive -2006                                                                	 natliz      	   865
WWWEIU   	   ZDB1EIU 	 EIU-Country Reports Archive                                                                      	 natliz      	   866
WWWNEF   	   ZDB1NEF 	 E-Books von NetLibrary / kostenfreie Titel                                                       	 natliz      	   867
         	           	 Entscheidungen des Reichsgerichts in Zivilsachen (RGZ) und Entscheidungen des Reichsgerichts in
WWWRGS   	   ZDB1RGS 	 Strafsachen (RGSt)                                                                               	 natliz      	   868
WWWLWW   	   ZDB1LWW 	 Lippincott Williams & Wilkins 'LWW Legacy Archive'                                               	 natliz      	   869
WWWMYA   	   ZDB1MYA 	 Mystik & Aszese des 16.-19. Jahrhunderts                                                         	 natliz      	   870
WWWRTH   	   ZDB1RTH 	 Religion & Theologie des 16.-19. Jahrhunderts                                                    	 natliz      	   871
WWW5CELL 	   WWW5CELL	 Cell Press Online - Konsortium Baden-Württemberg                                                 	 sonstig     	   872
WWW5SPR  	   WWW5SPR 	Elektronische Zeitschriften in SpringerLink - Konsortium Baden-Württemberg                        	 sonstig     	   873
WWW5WVT  	   ZDB5WVT 	 Wiso Wirtschaftswissenschaften Volltexte                                                         	 sonstig     	   874
WWW6PMC  	   ZDB6PMC 	 Project MUSE Premium Collection                                                                  	 sonstig     	   875




WWW6STC  	   ZDB6STC  	  Project MUSE Standard Collection                                            	 sonstig       	  875
WWWCAD   	   ZDB1CAD  	  China Ancient Books 中國基本古籍庫                                           	       natliz  	        876
WWWECJ   	   ZDB1ECJ  	  Eighteenth Century Journals II : Newspapers & Periodicals 1699-1812         	 natliz        	  877
WWWEMO   	   ZDB1EMO  	  Empire Online                                                               	 natliz        	  878
WWW7EDU  	   ZDB7EDU  	  Taylor & Francis Education Collection                                       	 sonstig       	  879
WWW8PSY  	   ZDB8PSY  	  PsycARTICLES                                                                	 sonstig       	  880
WWWEIOP  	   ZDB1EIOP 	  Editoria Italiana Online Periodici                                          	 natliz        	  881
WWWAIPK  	   ZDB1AIPK 	  AIP Digital Archive [Komplett]                                              	 natliz        	  882
WWWANRK  	   ZDB1ANRK 	  Annual Reviews Electronic Back Volume Collection [Komplett]                 	 natliz        	  883
WWWIOPK  	   ZDB1IOPK 	  IOP Historic Archive [Komplett]                                             	 natliz        	  884
WWWKAR   	   ZDB1KAR  	  Karger-Zeitschriften [Archiv]                                               	 natliz        	  885
WWWKARK  	   ZDB1KARK 	  Karger-Zeitschriften [Komplett]                                             	 natliz        	  886
WWWOJDK  	   ZDB1OJDK 	  Oxford Journals Digital Archive [Komplett]                                  	 natliz        	  887
WWWSAG   	   ZDB1SAG  	  Sage Journals Online [Archiv]                                               	 natliz        	  889
WWWSAGK  	   ZDB1SAGK 	  Sage Journals Online [Komplett]                                             	 natliz        	  890
WWWDGR   	   ZDB1DGR  	  Walter de Gruyter Online-Zeitschriften [Archiv]                             	 natliz        	  891
WWWDGRK  	   ZDB1DGRK 	  Walter de Gruyter Online-Zeitschriften [Komplett]                           	 natliz        	  892
WWWBMJ   	   ZDB1BMJ  	  BMJ Journals Online Collection                                              	 natliz        	  893
WWWKLU   	   ZDB1KLU  	  Kluwer Law Journals                                                         	 natliz        	  894
WWWBPC   	   ZDB1PBC  	  British Periodicals Collection                                              	 natliz        	  895
WWW5TFS  	   WWW5TFS  	  Taylor & Francis Scientific, Technical & Medical Library                    	 sonstig       	  896
WWWDJB   	   ZDB1DJB  	  Digitized Journal Backfiles Life and Physical Sciences: Teil 1 (Blackwell)  	 natliz        	  897
WWWKBL   	   ZDB1KBL  	  The Digital Karl Barth Library                                              	 natliz        	  898
WWWMEA   	   ZDB1MEA  	  Middle East Online Series: Arab-Israeli Relations                           	 natliz        	  899
WWWRSCK  	   ZDB1RSCK 	  RSC Journals Super Archive [Komplett]                                       	 natliz        	  900
WWWMEI   	   ZDB1MEI  	  Middle East Online Series: Iraq 1914-1974                                   	 natliz        	  901
WWWPWE   	   ZDB1PWE  	  Post-War Europe: Refugees, Exile and Resettlement                           	 natliz        	  902
WWWSHE   	   ZDB1SHE  	  Shenbao                                                                     	 natliz        	  903
WWWWEZ   	   ZDB1WEZ  	  Wenshi ziliao                                                               	 natliz        	  904
WWWHCP   	   ZDB1HCP  	  19th/20th Century House of Commons Parliamentary Papers                     	 natliz        	  905
WWWAPS   	   ZDB1APS  	  APS Digital Backfile Archive                                                	 natliz        	  906
WWW13SOC 	   ZDB13SOC 	  SourceOECD                                                                  	 sonstig       	  907
WWW6SDF  	   WWW6SDF  	  Elsevier ScienceDirect Freedom Collection - Konsortium Sachsen              	 sonstig       	  908
	
	
	
WWW6SPR  	   WWW6SPR  	  Elektronische Zeitschriften in SpringerLink - Konsortium Sachsen      	 sonstig      	  909
WWW6WIL  	   WWW6WIL  	  Wiley Interscience - Konsortium Sachsen                               	 sonstig      	  910
WWWNTA   	   ZDB1NTA  	  Nature Archives 1869 - 2009                                           	 natliz       	  911
WWW5WIL  	   WWW5WIL  	  Wiley InterScience - Konsortium Baden-Württemberg                     	 sonstig      	  912
WWW4AFH  	   WWW4AFH  	  EBSCO Academic Search Elite                                           	 sonstig      	  913
WWW4APH  	   WWW4APH  	  EBSCO Academic Search Premier                                         	 sonstig      	  914
WWW4BSH  	   WWW4BSH  	  EBSCO Business Source Elite                                           	 sonstig      	  915
WWW4BTH  	   WWW4BTH  	  EBSCO Business Source Complete                                        	 sonstig      	  916
WWW4BUH  	   WWW4BUH  	  EBSCO Business Source Premier                                         	 sonstig      	  917
WWW4EOH  	   WWW4EOH  	  EBSCO Econlit                                                         	 sonstig      	  918
WWW15ACM 	   ZDB15ACM 	  ACM Digital Library                                                   	 sonstig      	  919
WWWAHN   	   ZDB1AHN  	  America's Historical Newspapers / Early American Newspapers           	 natliz       	  920
WWWBCN   	   ZDB1BCN  	  17th and 18th Century Burney Collection Newspapers                    	 natliz       	  921
WWWBJA   	   ZDB1BJA  	  The Brill Journal Archive Online                                      	 natliz       	  922
WWWBLN   	   ZDB1BLN  	  19th Century British Library Newspapers                               	 natliz       	  923
WWWCUP   	   ZDB1CUP  	  Cambridge Journals Digital Archives                                   	 natliz       	  924
WWWEAV   	   ZDB1EAV  	  UDB-EDU (Social Sciences and Humanities Journals)                     	 natliz       	  925
WWWBIO   	   ZDB1BIO  	  BioOne Journals Online                                                	 natliz       	  926
WWWINT   	   ZDB1INT  	  Integrum World Wide                                                   	 natliz       	  927
WWWSCA   	   ZDB1SCA  	  Science Classic Archiv                                                	 natliz       	  928
